Query_Str,Post_URL,Author_Name,Author_Web_Page_URL,Author_Handle,Verified_Status,UTC_Time,Ads,Tweet_Content,Post_ID,Tweet_URL,Reply_Count,Repost_Count,Like_Count,View_Count,Bookmark_Count,Tweet_Image_URL,Replying_to,Reply_to_Whom,Reply_to_Whom_URL,Reply_to_Whom_Username,Reply_to_Whom_Handle,Language
일본 불매,https://x.com/search?q=일본 불매 lang:ko until:2019-06-01 since:2019-05-01&src=typed_query,#사법개혁#힘내라 조국#평화 좋아#일본 불매 #기레기 쓰레기통에#정치검찰아웃#가짜뉴스아웃#,https://x.com/snowdrop010202,snowdrop010202,False,2019-05-08 04:17:20+00:00,False,@park_wanju @jk_space 무고죄!,1125977961029488640,https://x.com/snowdrop010202/status/1125977961029488640,0,0,1,0,0,,True,park_wanju,https://x.com/park_wanju,국회의원 박완주/천안(을),park_wanju,ko
일본 불매,https://x.com/search?q=일본 불매 lang:ko until:2019-06-01 since:2019-05-01&src=typed_query,시으니맘 일본 불매 생활화중,https://x.com/jhg00529,jhg00529,False,2019-05-24 12:53:09+00:00,False,"@suntreewater 대표나 원내대표나 수준이..참 ;;
부끄러움은 국민들의 몫인가요..",1131905978352394241,https://x.com/jhg00529/status/1131905978352394241,0,0,1,0,0,,True,suntreewater,https://x.com/suntreewater,빛나는나무,suntreewater,ko
일본 불매,https://x.com/search?q=일본 불매 lang:ko until:2019-06-01 since:2019-05-01&src=typed_query,시으니맘 일본 불매 생활화중,https://x.com/jhg00529,jhg00529,False,2019-05-26 20:46:59+00:00,False,@otonacool @costadelsol124 아마도요..댓글에 지적이 많던데요,1132749997638766592,https://x.com/jhg00529/status/1132749997638766592,0,0,0,0,0,,True,otonacool,https://x.com/otonacool,otonacool,otonacool,ko
일본 불매,https://x.com/search?q=일본 불매 lang:ko until:2019-06-01 since:2019-05-01&src=typed_query,일본제품불매.일본여행아웃,https://x.com/ltho486200,ltho486200,False,2019-05-30 01:57:18+00:00,False,@Schalom1004 지랄들 하네요.개 또라이들...자한당이 이나라에 주둔하고 있는이상 국민의 염원은 뒤쳐집니다.민주주의 국민의나라가,1133915256516800512,https://x.com/ltho486200/status/1133915256516800512,0,0,0,0,0,,True,Schalom1004,https://x.com/Schalom1004,대치동 나팔🎗,Schalom1004,ko
일본 불매,https://x.com/search?q=일본 불매 lang:ko until:2019-06-01 since:2019-05-01&src=typed_query,일본제품불매.일본여행아웃,https://x.com/ltho486200,ltho486200,False,2019-05-20 03:08:08+00:00,False,@lanotte702 @jjookssook 항소심에서 뒤집어 질것입니다.구속으로 그리고 또 다른 사건이 터져 나온다네요 거의 수사 마무리 단계라는데...,1130309203602550784,https://x.com/ltho486200/status/1130309203602550784,0,0,0,0,0,,True,lanotte702,https://x.com/lanotte702,𝙰𝚛𝚌𝚑𝚎,lanotte702,ko
일본 불매,https://x.com/search?q=일본 불매 lang:ko until:2019-06-01 since:2019-05-01&src=typed_query,일본제품불매.일본여행아웃,https://x.com/ltho486200,ltho486200,False,2019-05-30 02:00:58+00:00,False,@hgk615 검찰수사에 응하지 않으면 검사 직권으로 긴급체포해서 증거인멸의 우려와 도주의 우려를 적용해서 영장청구해서 구속시키고 조사를 해야 합니다.나쁜것들 같으니라고 자한당은 해체가 답니다.자한당 국개의원들 일본으로 추방을,1133916178173218816,https://x.com/ltho486200/status/1133916178173218816,0,0,2,0,0,,True,hgk615,https://x.com/hgk615,김홍걸,hgk615,ko
일본 불매,https://x.com/search?q=일본 불매 lang:ko until:2019-06-01 since:2019-05-01&src=typed_query,시으니맘 일본 불매 생활화중,https://x.com/jhg00529,jhg00529,False,2019-05-30 08:10:50+00:00,False,@leejongha6870 @Moonshine_1221 따리쟁이라서 그래요 전형적인 포퓰리스트란 생각이 듭니다,1134009255533531136,https://x.com/jhg00529/status/1134009255533531136,0,0,0,0,0,,True,leejongha6870,https://x.com/leejongha6870,이종하,leejongha6870,ko
일본 불매,https://x.com/search?q=일본 불매 lang:ko until:2019-06-01 since:2019-05-01&src=typed_query,"적폐청산,검찰개혁,언론개혁,사법개혁,일본불매",https://x.com/GKRMJ0aKJn2Z25G,GKRMJ0aKJn2Z25G,False,2019-05-17 09:32:47+00:00,False,[시사저널 단독입수] 박근혜-최순실-정호성 90분 녹음파일 | 다음 뉴스 https://t.co/D7GfK1S2GN,1129318839378894848,https://x.com/GKRMJ0aKJn2Z25G/status/1129318839378894848,0,0,1,0,0,,False,,,,,ko
일본 불매,https://x.com/search?q=일본 불매 lang:ko until:2019-06-01 since:2019-05-01&src=typed_query,"적폐청산,검찰개혁,언론개혁,사법개혁,일본불매",https://x.com/GKRMJ0aKJn2Z25G,GKRMJ0aKJn2Z25G,False,2019-05-26 00:48:31+00:00,False,"[단독]황교안 구미행사 동원문자, 자유한국당이 원본이었다 | 다음뉴스 https://t.co/sg7ABabOUB",1132448393194663938,https://x.com/GKRMJ0aKJn2Z25G/status/1132448393194663938,0,0,0,0,0,,False,,,,,ko
일본 불매,https://x.com/search?q=일본 불매 lang:ko until:2019-06-01 since:2019-05-01&src=typed_query,#사법개혁#힘내라 조국#평화 좋아#일본 불매 #기레기 쓰레기통에#정치검찰아웃#가짜뉴스아웃#,https://x.com/snowdrop010202,snowdrop010202,False,2019-05-21 08:25:51+00:00,False,"@withkcc 뭐가 바뀐건지.
뉴스를 볼수가 없네요.
자유를 넘어 방종하게 하는건 안닌지
가짜뉴스는 퇴출시켜 주세요.
방송 송출을 막던지
강럭한 조치 부탁드립니다",1130751544230440960,https://x.com/snowdrop010202/status/1130751544230440960,0,0,0,0,0,,True,withkcc,https://x.com/withkcc,방송통신위원회,withkcc,ko
