text,time
이성보다 감성이 앞서면 어찌대는지 보여주는 전형적인 사례.,6개월 전
"난 다른 걸 떠나서 뉴진스 노래 계속 듣고 싶다. 일본에서 한 팬미팅 콘서트에서 일본 노래 부른 것도 진짜 좋았어. 
그냥 애들 음색이 너무 좋고 뉴진스 볼 때마다 어린 시절의 추억과 청춘과 열정이 느껴지고 너무 좋아. 
이런 느낌 주는 가수는 뉴진스 밖에 없어. 독보적이야. 대체불가능이야.
뉴진스가 이런데다 시간낭비하는 게 너무 아까워. 이럴 시간에 뉴진스의 아름다운 시간과 음색을  영원히 박제해줘.

하이브를 나가야 하는 건 맞아.
하이브에서 뉴진스를 버리겠다고 뒤에서 기획서 쓰면서 당당하게 밝힌 마당에 거기 남아있어봤자 더 이상 세상에 못 나오게 될텐데, 하이브에 남아있는 거 자체가 바보가 아니고서야 당연히 나와야지.",6개월 전
"부모들이 제일 문제, 애들만 가스라이팅당한게 아닌가?",6개월 전
25:47  어느 신문인지 도무지 들리지 않는다...,6개월 전
누가 시키디?막가파네.,6개월 전
저 아무개는 지가 선생인줄 아는거냐? 판사인줄 아는거냐?,6개월 전
우리 해린이 똑부러지네❤,6개월 전
철없다 머리나쁜것조상탓해야지,6개월 전
시작 할때 다 가져다 쓰고 이제는 계약이고 뭐고 나 몰랑 ㅋㅋㅋ그냥 꽁으로 나갈랭,6개월 전
"하이브가 민한테 했던 짓 고대로 똑같이 한건데 왜?
게다가 계약서에도 명시 되어있는(활동에 지장이 있을 시 계약 위반으로 간주) 사항인데 개저씨들 대체 니들이 왜 부들대요 ㅠㅠ ㅋㅋㅋ",6개월 전
법을 모르는 미성년들만 지지하는듯 하네,6개월 전
별 모지리들을 다보겠네ㅋㅋㅋ 법은 알고 얘기하는거냐ㅋ,6개월 전
"황당한 기자회견이네.
요즘은 연예인이 계약해지한다 말하면 바로 해지되는  세상인가?혼란하다 혼란해",6개월 전
상황. 불리 해지면.  피프티쳐럼.    한두명 나온다. ㅋㅋㅋ,6개월 전
"다른건 모르겠거 그냥 이겼음 좋겠다.
올바란판단이 되길!!
다진다고 하더라도 하이브상대로 이겨내길!! 너희들 노래 계속 듣고싶다!!",6개월 전
나도 내용듣고 내가 잘못들은줄알았음 혹은 이거 몰카인가? 드라마인가? 했는데 실화라니,6개월 전
이빨. 꽉. 깨물어라.  나중레.  엄마가. 시켰다.  하면. 안된다. ㅋㅋ. 철업네.,6개월 전(수정됨)
동덕진스 위약금은 내고 가야지,6개월 전
파이팅!!!!!,6개월 전
기자님 질문 자체를 아이들이 못알아듣고 있음 ㅠㅠㅠㅠ,6개월 전
세상을 쉽게 사니 세상이 쉬워보이지….,6개월 전
맘대로 나 해지할래 하면 해지가 되는 건가...법률자문은 받고있는건가..,6개월 전
냉혹한 사회현실을 깨닫게 하고싶은 사실 지스트레스 풀러온 못난 어른들 여기 많네요 애들이 잘못된걸 바로잡겠다는데 기특하다고 응원은 못해줄 망정 이놈아 계란으로 바위치기다 못난돌 정맞는다 이러고 있으니.. 당신은 언제부터 어린시절의 총기와 빛을 잃고 그들과 똑같은 사회를 좀먹게 만드는 일원이 되셨나요? 😮,6개월 전
"이번 사건이 기대가 되는게
다른 소속사들이나
다른 아티스트들이나

서로 지금 모두 관심있게 볼거임

왜냐?
이게 앞으로의 트렌드고 방향성이거든
소속사가 이긴다-> 아티스트는 앞으로도 깨갱
아티스트가 이긴다-> 소속사는 앞으로 아티스트 눈치봐야됌

ㅋㅋㅋ 어느방향으로든 꿀잼",6개월 전
피곤하다,6개월 전
"동덕여대, 뉴진스 전부 오냐오냐에 익숙해져서 패악질부리는거임. 참교육가자~!!",6개월 전
추잡한 하이브 꼭 이기셨으면 좋겠습니다,6개월 전
버니즈분들 꼭 국회에 칼국수금지령 청원도 해주세요. 민지 엄마도 칼국수언급이 본인자식 조롱이라고 탄원서를 쓰시고 버니즈도 창원사람이 칼국수좋아하는걸로 패드립 성희롱을 하던데 버니즈랑 민지엄마가 꼭 칼국수금지청원 올려서 전국 칼국수집 다 없애면 좋겠네요 말은 김민지가 이상하게했지만 아무튼 칼국수를 좋아하는건 민지 조롱이니까요,6개월 전
"동덕진스 

아~~~    몰랑    ㆍㆍ  계약서 서  모야
  민주당 이 깡패 법  만들면   됨ㆍ",6개월 전
민줌단들 그저 ^동덕진스^ 수호해 ㄹㅇㅋㅋㅋㅋ,6개월 전
잘된 일이네요. 계약 해지하고 가시더라도 위약금은 내고 나가세요. 갑진스에서 억진스로 진화하지 말고 ㅜㅜ,6개월 전
제가 알기로누 민희진이 잘못인걸로 알고있어요(뉴진스 아니에여),6개월 전
"우리맘데로 안해주고 기분나빠서 일못하겠으니까 계약 위반임 ㅋㅋㅋㅋㅋ
애들 수준이 이정도였냐 처참하다 
이번에 법으로 참교육받고 사회성좀 키우자 ㅋㅋㅋ",6개월 전
뉴진스 화이팅 응원합니다!!!,6개월 전
