time,text
1년 전,한국이 지금 딱 29표 수준이야!
1년 전,잼버리를 그따구로 했는데 잘도 뽑아주겠노ㅋㅋㅋ
1년 전,29표 받고 뭐가 아쉬워 ㅋㅋㅋㅋㅋ
1년 전,박빙ㅋㅋㅋㅋ시발ㅋㅋㅋ
1년 전,못난놈들..ㅊㅊㅊㅊ
1년 전,잼버리를 그따위로 끝내고 무슨염치로 ㅋㅋㅋ
1년 전,Our Korean people who failed to empower the president should also reflect on ourselves this time.
1년 전,대통령에게 힘을 실어주지 못한 우리 국민들도 이번을 계기로 반성해야합니다.
1년 전,대통령에게 힘을 실어주지 못한 우리 국민들도 이번을 계기로 반성해야합니다.
1년 전,"Thank you for your efforts. I think the evaluation is more important than the result. If you analyze the cause of defeat objectively and coolly and work toward a better future, that's enough♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡"
1년 전,수고 많으셨습니다. 결과보다 더 중요한게 평가라고 생각합니다. 패배의 원인을 객관적으로 냉정하게 분석하고 더 나은 미래를 위해 노력해주신다면 그것으로 충분합니다♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡
1년 전,"▶ 뭐하나 제대로 잘하는게 있냐?
<무능> 그 자체 정권!"
1년 전,ㅋㅋㅋㅋ 90표 차이인데... 대역전극??? 그냥 바보들이 나라를 운영하고 있네... 초딩들한테 청와대 넘겨줘서 이 난리
1년 전,문재인 때문이다
1년 전,"진심 기대한거임??ㅎㅎㅎ
혈세만 또 썼구나.."
1년 전,3위인 로마와 박빙이였냐 ? ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1년 전,참 외교 홍보 엉망이네요 박빙이라고 떠들더니 이 정도 차이면 모를리가 없을텐데... 계속 국민에게 거짓말이나하고 잼버리엉망으로 해치우니 이런 결과를 얻지
1년 전,"유치를 위해 하는일들이
유치하게 끝났다
전략도 유치  PT도 유치
홍보영상에 나온인물들도
유치유치유치하다

부산시민들께
위로의마음을전합니다"
1년 전,씃때없이 홍보에 세금만 썻네 ㅋㅋㅋ
1년 전,수백억 퍼주며 선희 버킷리스트해준 영국황실 방문은 무슨 의미인지
1년 전,"걍
웃음만 나온다"
1년 전,또 전 정권 탓하는 모지리
1년 전,29표
1년 전,"그러게
총력을 다한게 29~?

참나"
1년 전,못난이 정부!
1년 전,"🐕 뿔도 눈치도 정보도 없고
오직  내가  된다는
강서구선거 시준2다!"
1년 전,박빙?  그거  믿으면   2찍들이지~~현실못보는  부산시민들 ㅎㅎ 여기님들은  똑똑하네  ㅎㅎ
1년 전,내가 아는 박빙 뜻이 바뀌었나..?
1년 전,윤석열 지지율만큼 표 나왔네ㅋㅋ
1년 전,모지리들이뭘할줄아나
1년 전,"엑스포에 목숨 걸
이유 없다. 한국만 잘 나가는 것도 아니고 ,국가 핵심사업에 집중하고 내실을
다져나가자.
쓸데없이 비난하지 말자,"
1년 전,맨날 매맞고..다나는 쏘나가 무슨 힘이 있는데 ..우승컵도 없는 ..무관에..
1년 전,나라 아닌듯
1년 전,딱현 정부 수준 29%
1년 전,윤모지리 화이팅 ~^^
1년 전,모여있는 면면을 보니 왜 설득력이 안느껴지는 구닥다리 PT가 니올 수밖에 없는 지 충분히 알 수 있겠다.. 저 노털들 석두에서 뭐가 나오겠니.
1년 전,원래 수구들이 말꼬리 잡는것만 잘하지 실무 일 하라면 맨땅 파고있는 집단인데..
1년 전,中華民國台灣省支持韓國🇰🇷❤
1년 전,이 정도면 한 나라의 정보력이 거의 코바나 컨텐츠 수준이죠.  PT도 코바나 컨텐츠 처럼 천정에 구멍 뚫린 수준이고...
1년 전,자 이제 돈쓴거 털어봐야겠쥬???
1년 전,저걸 박빙이라고 예측한 멍청이들의 두뇌들이 박빙이란 의미임 29표 어이없다 그냥 무정부임 추잡하고 무능한 물건들임
1년 전,"섭섭한 일이지만 한국을 알리는것만으로도 할만했습니다
윤대통령님 수고 많으셨습니다"
1년 전,머저리굥 왈~~~~~~박빙맞다 둘다165표 못 얻은건 마찬가지다
1년 전,이번 정부가 물고빠는 일본은 어디를 선택했을까?
1년 전,저기있는 사람중 능력있는인간 일도없다 증말 이렇게 모아놓기도 쉽지않다   신문안보는 나도 가능성없다는거 예상했는데  저걸 가능하다고 돈을쳐부어 싸돌아다닌거???
1년 전,쏘니 드립 진짜 개패고 싶네
1년 전,버스에다가도 엑스포로 도배 쳐 한 부산시는 좀 맞자 누가 보면 엑스포 개최 얼마 안남겨둔 지 알겠다 진짜 국민 혈세가 아주 달아 죽겠제
1년 전,박형준은 부산 엑스포 신청한 적이 없다고  하네요~~
1년 전,두명의 조강지처 버린 불륜 저질남들이 대표로 나섰다는게 기막힐 노릇...
1년 전,지나치게  경제우상위주로 사는 나라는 다른 나라도 싫어하게돼있고 바다가오염된 나라에오고싶겠나?
1년 전,세계적으로 왕따 당한 윤석열 정부 와 국민의힘당에 두번 다시 절대 속지 맙시다.
1년 전,무능외교가 부른 참극 😢
1년 전,잼버리로 이미 국제적인 망신을 당했는데 우리나라에 표를 주겠냐??
1년 전,여수는 되고 부산은 안되지 ㅋㅋ 역시 부산. 부산시럽기 짝이없네....ㅋㅋ
1년 전,쏘니가 왜？ 굥 영업사원이 있는데...
1년 전,내년 국짐은 29석확정!!!
1년 전,설레발 오지더니 게처발렸네 ㅋㅋㅋㅋㅋㅋ 한국 외교의현실이다 모지리정권
1년 전,ㅎㅎㅎㅎㅎ 😆 콩으로 메주를 쓴다고 해도 믿지 마라 😂
1년 전,"다음도 기대할수 없어 금전투표 운운하며
119개국 적으로 만들어 버리고 왔어"
1년 전,ㅅㅂ 외교 자산이 꼴랑 29개...
1년 전,do you know buvsan?
1년 전,세금이 저리 처박고 나라 곳간을 축내는구나
1년 전,세금만 낭비.. 이제 해외여행 좀 그만가라!!
1년 전,저 결과가 내년 총선 이정표 인건 알지~~
1년 전,처음부터 역전할 수 있을 득표수가 아닌데 설레발친 멍청한 정부와 보수 기레기들~
1년 전,머한거임??
1년 전,되지도 않을 엑스포에 출사표 던져서 세금 만 낭비하고 이걸 빌미로 해외 여행이나 다니면서 김거뉘 겅주 놀이에 세금이나 낭비하고 .... 정말 이 정권 괜찮은 겁니까?
1년 전,역시 국제행사유치는 금전로비를 당해낼수는 없다.
1년 전,진심담은 행보에 해외교민이 눈물과 환호로 반겨주던 대통령이 있었고 각나라들도 이에 감동의 예우로 화답하던 때가 있었다. 자국민 버림받은 썩은 권력 비계덩어리들이 어떻게 세계인의 마음을 얻을수있나
1년 전,"제발 거짓 언론 플러이 국민들 현옥 하지 마라...박빙 ㅋㅋㅋㅋㅋ 😂 
국민의당 윤석열이 정신 쫌 차리자...😢"
1년 전,박빙이라고 해야 해외 싸돌아 다니기 좋잖아..
1년 전,"여성가족부가 잼버리를 그렇게 망쳐놨는데ᆢ 당연한 결과다 ㅋ
국민혈세 낭비하지 말고. 사라져라 여성가족부"
1년 전,머릿속에 든게있어야지 내부에서 권력 싸움 자리싸움이나하느라 일을 못하고 있어요
