time,text
1년 전,이재명은 죄가없어 검찰들이 갈 길을 잃었어요. 정신차리세요. 세금 도둑들이 나라를 좀 먹고 있어요. 어떻게 범죄자를 대통령으로 만든 자들은 반성하세요.
1년 전,이런 댓글은 돈받고 하는 거겠지요? 설마 선량한 시민이 이런 댓글을 달까요? 범죄자들은 윤석렬 가족들입니다.
1년 전,5명은 검찰의 무리한 수사로 인해 목숨을 잃었습니다. 그 검사들이 나라를 유린하고 있어요. 정신차리세요.
1년 전,"홍준표 시장(당시 국회의원)은 지난 2021년 8월 13일자 '연합뉴스'와의 인터뷰에서 ""나는 이 정권 초기 윤석열 전 총장에게서 피맺힌 피해를 당했다""며 ""단일 사건 수사로 5명이나 자살했다. 내 정무부지사도 수사 압박으로 자살했다. 내가 그 포악한 짓을 어떻게 잊을 수 있겠나. 윤석열 전 총장은 이 수사에 대해 해명하고 반성해야 한다. 국민 앞에서 석고대죄해야 한다""고 한 바 있다."
1년 전,"재판안가냐?
추모나해라ㅡ선동질그만하고"
1년 전,본인 얘기하는거냐 죄명아? 니 마누라 법카로 소고기초밥 쳐먹던거나 속시원하게 까봐라
1년 전,다 된다 하더라도 당신은 안된다. 절대
1년 전,참 부끄럽지도 않는지
1년 전,감옥안가겠다고 방탄하고 부결호소하고 재판 깽판치는 인간이 무슨 추모야?자기 수하에서 온 몸다바쳐  일한 김문기장례식도 안간 인간이 이태원참사 유족을  위로해?
1년 전,이태원 참사 추모전에 이죄명의 죄를 덮기위해 억울하개 죽은 다섯명의 영혼를 추모하면서 참회하라.
1년 전,전과4범 정말 한심하구나. 니 재판이나 성실하게 받아라. 정치판에 더 기웃거리지 말고 앞으로는 착하게 살아라. 찢
1년 전,쓰레기 ㆍ범죄자 꼴감떨고 있네
1년 전,ㅇㅈㅁ이 하는 말은 다 거짓말에 헛소리. 진실성이 없는 소리는 소음에 불과하다. 진상이 규명되어야하는 것은 이 사태에는 마약문제와 이 사태가 불순분자에 의해 기획되었을 수 있기때문이다
1년 전,추모제가는것도좋지만재판에는왜안가나깜빵가는게점점두려운가개털뒤에숨지마라속이훤히보인다보여
1년 전,이재명이가  할말은  진짜  아니지..ㅎㅎ
1년 전,"ㅈㅁ!
자숙해야지…
당신이 할얘기가 아니지…"
1년 전,이놈 빨리잡아드려라..
1년 전,"찢 주변에서 넷이나 자살 
참석 자격이 있나?
재판건 모두 무죄 가능성 0%
찢은 정치생명 끝났다."
1년 전,"당신 죄나 죗값치러라
참 인간이 저렇게 뻔뻔할수도 있구나싶다
죄없다는 자기최면의 걸린듯하다"
1년 전,"이죄명 저 인간이 저런 말할 자격이  되나
주제파악 하고 살기를.
후안무치한 인간😂😂😂😂😂😂😂😂😂"
1년 전,범죄당들 정말 진심으로 벌받아야 마땅합니다.이런식으로 국민을 갖고노는거지.총선에 꼭 멸망하기를 빌고 빕니다.죄명이는 제발 자유를 흔들지말고 학교 드가라
1년 전,너나 잘해라~~~~
1년 전,도적놈들 집합소
1년 전,"너도 언젠가 잡혀들어 가기를 期禱
해주마"
1년 전,다섯명으로 늘었습니다
1년 전,재명이 오랜만에 설레고 행복한날♡♡
1년 전,참 진상이다. 아직도 누구탓 얘기나하고 머리에 똥만 들었나. 이런 인간이 대통령 됐으면 대한민국 골로갔다 ㅉㅉ
1년 전,절은 잘받았다 치고  이제 안통하는데 ㅉ
1년 전,이넘은 왜 감방에 못보내나!!~참 요리조리 웃기는 인간!!~~나가 봉사활동이나 하거라!!~~
1년 전,"범죄명은 이런데 얼굴 내밀지 말고 재판에 출석하고 감옥갈 준비나 하시지. 작년 이말 가슴이 무너졌는데....이 자 때문에 애도가 안나오네요. 진상규명이 되어야 하고, 규명되면 그 쪽에 불리할지도 모른다는 예감!"
1년 전,에라이 니미야 재판은 요리조리 피해 다니면서 지팡이 안짚고 잘 걸어다니네 소시오종자 퉤!
1년 전,"난 이래서 째명이 니가 싫다. 늘 남탓, 거짓말… 니 아들들에게 창피하지도 않냐?"
1년 전,이재명이 이런말할 자격이있나요 자기 갈곳이나 가시구려  뻔뻔하게
1년 전,도둑놈이 뻔뻔하게 참 설쳐대는 것도 나라가 암울하네.
1년 전,추모만 해 추모만. 정치랑 엮지말고 ㅈㄴ 추잡해서 못봐주겠네
1년 전,병x 진실이고 은폐고가 어디있냐 이x야 그냥 많이 몰려서 압사사고 난것뿐인데
1년 전,이재명  방지법  만들어서 이재명  같은 놈이 국회의원 되지 못하게 하는 법 만들라
1년 전,"죄맹아
거울보면서 그얘기해보거라
권력.은폐는 니가 더 하고있거든"
1년 전,재판이나가라..이런걸로 은폐할생각말고
1년 전,"미친놈
요즘은 안속는다"
1년 전,정치에 이용쑈
1년 전,피곤한 인간아 니 꼬라지를 알라
1년 전,"더 많은 이야기는 아래 기사에서 확인하세요.
👉https://www.bbc.com/korean/features-67237190"
1년 전,2찍들 보고있냐 니네덕분에 일어난 참사다
1년 전,크으으 카카로트
1년 전,이태원 해밀톤골목 한장소에서 일어난 참극이 맞냐.다른 장소에서도 사망자가 다수 나왔다는 주장들이 있는데...현장브리핑에서 어느 기자가 건물안에서 시신들이 나오고 있다는 주장을 했는데. 이부분에 대해서 구체적인 설명이나 해명이 필요하는 것 같은데...
1년 전,이것도 국내언론이 아닌 BBC구나...
1년 전,열린공감tv  이태원 일본주술 보세요
1년 전,돌아가신분들 너무 안타깝고 고인의 명복을 빕니다.. 근데 그 유족분들 제발 그만 좀 해주셨으면 좋겠습니다. 세금으로 지원금 달라니 말라니 하는 모습 솔직히 보기 안좋네요;; 본인들이 이미지를 깎아 말아 드시고 계십니다^^
